15,21,,,,,,,,,,,,,,,,,,,
1,1,1,3,3,3,4,4,8,8,8,8,9,9,10,10,10,22,22,22,22
1,1,1,2,2,3,3,4,8,8,8,8,9,9,9,10,10,22,22,22,22
1,1,2,2,2,3,3,4,8,8,8,8,11,9,9,10,10,22,22,22,22
2,2,2,2,2,4,4,4,8,7,7,11,11,9,9,10,10,22,22,23,22
5,5,5,2,2,6,6,7,7,7,7,11,9,9,9,22,22,22,23,24,24
5,5,5,6,6,6,7,7,7,7,7,11,9,9,22,22,22,22,23,24,24
5,5,5,6,6,12,12,12,12,12,12,11,9,9,9,22,22,22,23,24,24
5,5,5,13,14,14,12,12,12,11,11,11,21,21,21,23,23,23,23,23,23
13,13,13,13,14,14,12,12,12,11,11,11,21,21,21,25,29,29,29,29,28
13,13,15,15,14,14,12,12,12,19,19,21,21,21,21,25,29,29,29,29,28
13,13,15,15,14,14,12,12,12,19,19,20,20,25,25,25,27,27,27,28,28
13,13,15,15,14,14,18,18,19,19,19,20,20,25,25,25,27,27,27,26,26
16,16,16,18,14,14,18,18,18,19,19,20,20,30,30,30,27,27,27,26,26
17,16,16,18,18,18,18,18,20,20,19,20,20,30,30,30,27,27,27,26,26
17,16,16,18,18,18,18,18,20,20,20,20,20,30,30,30,27,27,27,27,26
